Term,TF,DF,IDF,TF-IDF,Total Dokumen Sentimen Positive,Total Sentimen Negative
kulon,1,1,3.22994,3.22994,0,1
rendam,1,2,2.92891,2.92891,0,2
tanggul,1,5,2.53097,2.53097,1,4
jebol,1,1,3.22994,3.22994,0,1
tamu,1,2,2.92891,2.92891,0,2
puruk,1,1,3.22994,3.22994,1,0
ban,1,1,3.22994,3.22994,1,0
induk,1,1,3.22994,3.22994,0,1
drastis,1,1,3.22994,3.22994,0,1
selaras,1,1,3.22994,3.22994,1,0
yoga,1,1,3.22994,3.22994,1,0
komisi,1,1,3.22994,3.22994,1,0
rawit,1,1,3.22994,3.22994,0,1
bulu,1,1,3.22994,3.22994,0,1
jeli,1,1,3.22994,3.22994,0,1
legislatif,1,1,3.22994,3.22994,1,0
tunda,1,3,2.75282,2.75282,0,3
nyali,1,1,3.22994,3.22994,1,0
fokus,1,3,2.75282,2.75282,3,0
imigrasi,1,1,3.22994,3.22994,1,0
pot,1,1,3.22994,3.22994,1,0
ikon,1,1,3.22994,3.22994,1,0
senapan,1,2,2.92891,2.92891,0,2
angin,1,2,2.92891,2.92891,0,2
pelatuk,1,1,3.22994,3.22994,0,1
jenguk,1,1,3.22994,3.22994,1,0
kondusif,1,3,2.75282,2.75282,1,2
sayung,1,1,3.22994,3.22994,1,0
dinar,1,8,2.32685,2.32685,1,7
ungsi,1,1,3.22994,3.22994,0,1
deras,1,2,2.92891,2.92891,0,2
betina,1,2,2.92891,2.92891,0,2
inspirasi,1,2,2.92891,2.92891,2,0
ginjal,1,1,3.22994,3.22994,0,1
bandang,1,3,2.75282,2.75282,0,3
permanen,1,2,2.92891,2.92891,0,2
banding,1,1,3.22994,3.22994,0,1
simulator,1,2,2.92891,2.92891,2,0
teknologi,1,1,3.22994,3.22994,1,0
virtual,1,2,2.92891,2.92891,2,0
bas,1,1,3.22994,3.22994,1,0
komikus,1,1,3.22994,3.22994,1,0
komik,1,1,3.22994,3.22994,1,0
jumbo,1,1,3.22994,3.22994,1,0
februari,1,1,3.22994,3.22994,1,0
pes,1,1,3.22994,3.22994,1,0
antuk,1,1,3.22994,3.22994,0,1
bugar,1,1,3.22994,3.22994,1,0
kencang,1,1,3.22994,3.22994,1,0
bupati,1,1,3.22994,3.22994,1,0
nomor,1,1,3.22994,3.22994,1,0
punggung,1,1,3.22994,3.22994,1,0
sketsa,1,1,3.22994,3.22994,1,0
donor,1,1,3.22994,3.22994,1,0
awet,1,1,3.22994,3.22994,1,0
rembes,1,1,3.22994,3.22994,0,1
komite,1,4,2.62788,2.62788,2,2
pengkol,1,1,3.22994,3.22994,0,1
ad,1,3,2.75282,2.75282,1,2
ya,1,1,3.22994,3.22994,1,0
bentrok,1,3,2.75282,2.75282,1,2
aksa,1,1,3.22994,3.22994,0,1
rapat,1,1,3.22994,3.22994,0,1
genting,1,1,3.22994,3.22994,0,1
situasi,1,2,2.92891,2.92891,0,2
halau,1,1,3.22994,3.22994,0,1
muncul,1,2,2.92891,2.92891,1,1
gigit,1,1,3.22994,3.22994,0,1
usung,1,1,3.22994,3.22994,1,0
konsep,1,2,2.92891,2.92891,2,0
cokelat,1,2,2.92891,2.92891,1,1
vonis,1,1,3.22994,3.22994,1,0
roti,1,1,3.22994,3.22994,1,0
belanda,1,1,3.22994,3.22994,1,0
pustaka,1,1,3.22994,3.22994,1,0
gratifikasi,1,1,3.22994,3.22994,1,0
bibir,1,1,3.22994,3.22994,1,0
sumbing,1,1,3.22994,3.22994,1,0
diabetes,1,1,3.22994,3.22994,0,1
abai,1,1,3.22994,3.22994,1,0
curah,1,1,3.22994,3.22994,1,0
posisi,1,1,3.22994,3.22994,1,0
tidur,1,1,3.22994,3.22994,1,0
kuota,1,1,3.22994,3.22994,1,0
lukis,2,2,2.92891,5.85782,2,0
haul,1,1,3.22994,3.22994,1,0
abah,1,1,3.22994,3.22994,1,0
lurus,1,1,3.22994,3.22994,1,0
netral,1,1,3.22994,3.22994,1,0
seminar,1,1,3.22994,3.22994,1,0
kondang,1,1,3.22994,3.22994,1,0
nyentrik,1,1,3.22994,3.22994,1,0
hormat,1,1,3.22994,3.22994,1,0
porsi,1,1,3.22994,3.22994,0,1
liar,1,1,3.22994,3.22994,0,1
kerumun,1,1,3.22994,3.22994,0,1
lalat,1,1,3.22994,3.22994,0,1
ombak,1,3,2.75282,2.75282,0,3
tagih,1,1,3.22994,3.22994,0,1
canggih,1,1,3.22994,3.22994,1,0
cap,1,2,2.92891,2.92891,2,0
quran,1,1,3.22994,3.22994,1,0
implementasi,1,1,3.22994,3.22994,1,0
profil,1,1,3.22994,3.22994,1,0
lontong,1,1,3.22994,3.22994,1,0
imlek,1,1,3.22994,3.22994,1,0
tempel,1,1,3.22994,3.22994,1,0
melek,1,1,3.22994,3.22994,1,0
kawin,1,1,3.22994,3.22994,1,0
erang,1,1,3.22994,3.22994,0,1
tes,1,1,3.22994,3.22994,1,0
wawancara,1,1,3.22994,3.22994,1,0
asli,1,1,3.22994,3.22994,1,0
randu,1,1,3.22994,3.22994,1,0
babon,1,1,3.22994,3.22994,0,1
hujung,1,1,3.22994,3.22994,1,0
tanggulang,1,1,3.22994,3.22994,0,1
permen,1,1,3.22994,3.22994,0,1
bisik,1,1,3.22994,3.22994,1,0
suka,1,1,3.22994,3.22994,1,0
susul,1,1,3.22994,3.22994,0,1
tepis,1,1,3.22994,3.22994,0,1
renggang,1,1,3.22994,3.22994,0,1
bang,1,1,3.22994,3.22994,1,0
sunti,1,1,3.22994,3.22994,1,0
euforia,1,1,3.22994,3.22994,1,0
minim,1,1,3.22994,3.22994,0,1
picu,1,1,3.22994,3.22994,0,1
aula,1,1,3.22994,3.22994,1,0
politis,1,2,2.92891,2.92891,2,0
politikus,1,1,3.22994,3.22994,1,0
runtuh,1,1,3.22994,3.22994,1,0
jera,1,1,3.22994,3.22994,1,0
gangster,1,1,3.22994,3.22994,1,0

Total Document Training Sentimen Positive,3638
Total Document Training Sentimen Negative,3721
